model_type,wd,jsd,corr_diff,acc,auc,f1
ae,0.06849535977330075,0.3254420879861255,13.11561207938137,56.245000000000005,0.6523003057728314,0.648200250711775
dae,0.25442572898484594,0.5304784008210066,13.63528845060515,55.69833333333333,0.2462118542221908,0.6390401543337224
ee,0.0683236819913015,0.3538573276676458,12.170453733739834,30.30999999999999,0.25586581846740064,0.40450078055912175
vae,0.09166996776052301,0.47037869170945373,14.91709702183197,42.96000000000001,0.25444954788627117,0.5855652116190793
