model_type,wd,jsd,corr_diff,acc,auc,f1
ae,0.2386606072961196,0.2299150731739025,2.8830103590231175,8.533333333333328,0.2510773875368732,0.36097470040811463
dae,0.23967455312216127,0.23447656301453082,2.837184003704458,10.716666666666654,0.2580626421152901,0.34746074512823233
ee,0.23973885542344567,0.22777132229108396,2.864100905522515,8.98333333333333,0.2452626636246313,0.33997823363138835
vae,0.24023356793842077,0.2283663985510853,2.8795078556440674,11.041666666666664,0.26690931892207476,0.3644322098658572
